"Country","Population", 
"china",1416043270, 
"india",1409128296,
"USA",341963408,
"indonesia",281562465,
"pakistan",252363571,
"nigeria",236747130,
"brazil",220051512,
"bangladesh",168697184,
"russia",140820810,
"mexico",130739927
